name,gender,number
ANNA,FEMALE,1075653
KATARZYNA,FEMALE,605826
MARIA,FEMALE,594197
MALGORZATA,FEMALE,579481
AGNIESZKA,FEMALE,548636
BARBARA,FEMALE,485438
EWA,FEMALE,478990
MAGDALENA,FEMALE,434693
ELZBIETA,FEMALE,420102
KRYSTYNA,FEMALE,413847
JOANNA,FEMALE,404892
ALEKSANDRA,FEMALE,389099
MONIKA,FEMALE,378440
ZOFIA,FEMALE,373092
TERESA,FEMALE,335287
NATALIA,FEMALE,314773
JULIA,FEMALE,303234
DANUTA,FEMALE,301751
KAROLINA,FEMALE,293737
MARTA,FEMALE,289815
BEATA,FEMALE,280756
DOROTA,FEMALE,269186
ALICJA,FEMALE,251102
HALINA,FEMALE,243336
JADWIGA,FEMALE,238547
JOLANTA,FEMALE,238489
IWONA,FEMALE,233227
GRAZYNA,FEMALE,230489
JANINA,FEMALE,226676
PAULINA,FEMALE,223901
ZUZANNA,FEMALE,219547
JUSTYNA,FEMALE,216865
IRENA,FEMALE,215927
HANNA,FEMALE,215797
WIKTORIA,FEMALE,203468
BOZENA,FEMALE,200589
RENATA,FEMALE,188669
URSZULA,FEMALE,186308
AGATA,FEMALE,183638
SYLWIA,FEMALE,182687
MAJA,FEMALE,175030
PATRYCJA,FEMALE,169306
HELENA,FEMALE,167835
IZABELA,FEMALE,159380
EMILIA,FEMALE,159330
OLIWIA,FEMALE,156058
ANETA,FEMALE,151841
WERONIKA,FEMALE,150995
EWELINA,FEMALE,148260
MARTYNA,FEMALE,141765
KLAUDIA,FEMALE,138643
GABRIELA,FEMALE,133051
MARZENA,FEMALE,129686
LENA,FEMALE,126549
DOMINIKA,FEMALE,122527
MARIANNA,FEMALE,121290
AMELIA,FEMALE,121159
KINGA,FEMALE,120526
STANISLAWA,FEMALE,115374
EDYTA,FEMALE,114204
KAMILA,FEMALE,111005
WIESLAWA,FEMALE,106801
ALINA,FEMALE,102163
WANDA,FEMALE,95630
DARIA,FEMALE,85550
LIDIA,FEMALE,83109
MARIOLA,FEMALE,82314
LUCYNA,FEMALE,80942
TETIANA,FEMALE,78904
NIKOLA,FEMALE,76728
MILENA,FEMALE,75382
NATALIIA,FEMALE,74219
OLENA,FEMALE,73080
WIOLETTA,FEMALE,72654
MIROSLAWA,FEMALE,70835
IRYNA,FEMALE,69432
LAURA,FEMALE,68705
ANTONINA,FEMALE,66429
ANGELIKA,FEMALE,64922
OLGA,FEMALE,60922
KAZIMIERA,FEMALE,57167
OLHA,FEMALE,56090
BOGUMILA,FEMALE,55562
OKSANA,FEMALE,54962
ILONA,FEMALE,54790
MICHALINA,FEMALE,54383
SANDRA,FEMALE,54149
GENOWEFA,FEMALE,52195
MARIIA,FEMALE,52027
SVITLANA,FEMALE,51653
NADIA,FEMALE,51425
YULIIA,FEMALE,49583
ANASTASIIA,FEMALE,49489
KORNELIA,FEMALE,49171
MARLENA,FEMALE,48490
VIKTORIIA,FEMALE,48155
HENRYKA,FEMALE,47936
LUCJA,FEMALE,47856
SABINA,FEMALE,47632
BOGUSLAWA,FEMALE,47555
NINA,FEMALE,45929
JOZEFA,FEMALE,45912
ANITA,FEMALE,45828
STEFANIA,FEMALE,45054
IGA,FEMALE,44739
LILIANA,FEMALE,44645
REGINA,FEMALE,43728
POLA,FEMALE,43463
MARCELINA,FEMALE,43323
KATERYNA,FEMALE,42608
JAGODA,FEMALE,41556
CZESLAWA,FEMALE,39629
ANIELA,FEMALE,39292
WLADYSLAWA,FEMALE,38678
KARINA,FEMALE,36638
LIUDMYLA,FEMALE,36504
WIOLETA,FEMALE,34421
ADRIANNA,FEMALE,33689
DIANA,FEMALE,32586
ROKSANA,FEMALE,31975
DAGMARA,FEMALE,31723
SARA,FEMALE,30962
MALWINA,FEMALE,30097
HALYNA,FEMALE,27954
ELIZA,FEMALE,27710
CECYLIA,FEMALE,27481
ZANETA,FEMALE,27136
MARYNA,FEMALE,26771
ZDZISLAWA,FEMALE,26184
SOFIIA,FEMALE,25873
KLARA,FEMALE,25510
ROZA,FEMALE,25272
KAJA,FEMALE,24940
VALENTYNA,FEMALE,24848
LEOKADIA,FEMALE,24757
BLANKA,FEMALE,24233
NADIIA,FEMALE,23451
ANASTAZJA,FEMALE,23401
BERNADETA,FEMALE,22943
BRONISLAWA,FEMALE,22236
EUGENIA,FEMALE,22041
JULITA,FEMALE,21800
OLEKSANDRA,FEMALE,21633
ALDONA,FEMALE,21069
ROZALIA,FEMALE,20544
VIOLETTA,FEMALE,20517
DANIELA,FEMALE,20067
LILIANNA,FEMALE,19439
INNA,FEMALE,19216
MAGDA,FEMALE,18330
CELINA,FEMALE,17712
YANA,FEMALE,17493
MATYLDA,FEMALE,17036
LIUBOV,FEMALE,17033
ADRIANA,FEMALE,16170
HONORATA,FEMALE,16126
VERONIKA,FEMALE,15775
NELA,FEMALE,15560
PAULA,FEMALE,15441
LARYSA,FEMALE,15119
BRYGIDA,FEMALE,14544
AURELIA,FEMALE,14510
VALERIIA,FEMALE,14463
IZABELLA,FEMALE,14438
KALINA,FEMALE,13984
ALLA,FEMALE,13698
MARIKA,FEMALE,13342
GERTRUDA,FEMALE,13188
MIECZYSLAWA,FEMALE,13188
SONIA,FEMALE,12832
BOZENNA,FEMALE,12650
ELWIRA,FEMALE,12596
LILIIA,FEMALE,12388
MARZANNA,FEMALE,12383
OLIVIA,FEMALE,12310
TAMARA,FEMALE,12274
ANDZELIKA,FEMALE,11819
POLINA,FEMALE,11539
ALONA,FEMALE,11520
ARLETA,FEMALE,11289
TATIANA,FEMALE,11103
YELYZAVETA,FEMALE,11080
LUIZA,FEMALE,10849
KHRYSTYNA,FEMALE,10303
VICTORIA,FEMALE,10145
ADELA,FEMALE,9781
JUDYTA,FEMALE,9756
MIA,FEMALE,9600
NICOLE,FEMALE,9500
FRANCISZKA,FEMALE,9361
IVANNA,FEMALE,9334
MARIANA,FEMALE,9189
NICOLA,FEMALE,9040
NATASZA,FEMALE,9003
LIWIA,FEMALE,8869
JOWITA,FEMALE,8731
VIRA,FEMALE,8492
VANESSA,FEMALE,8411
ALFREDA,FEMALE,8366
YEVHENIIA,FEMALE,8331
APOLONIA,FEMALE,8036
ROMANA,FEMALE,7941
MELANIA,FEMALE,7862
INGA,FEMALE,7857
JESSICA,FEMALE,7661
ANHELINA,FEMALE,7609
ELENA,FEMALE,7551
DARYNA,FEMALE,7484
ADA,FEMALE,7467
ELEONORA,FEMALE,7374
MARZENNA,FEMALE,7320
JULIANNA,FEMALE,7307
ESTERA,FEMALE,7231
BIANKA,FEMALE,7046
LUDWIKA,FEMALE,7034
MARHARYTA,FEMALE,7006
LESIA,FEMALE,6958
MILANA,FEMALE,6851
SOFIA,FEMALE,6769
BERNADETTA,FEMALE,6619
ZENONA,FEMALE,6585
WACLAWA,FEMALE,6387
KARYNA,FEMALE,6276
ZLATA,FEMALE,6249
KIRA,FEMALE,6240
ULIANA,FEMALE,6189
ALISA,FEMALE,6130
DONATA,FEMALE,6084
WALENTYNA,FEMALE,6063
LUDMILA,FEMALE,6054
ANETTA,FEMALE,6038
YEVA,FEMALE,5971
LIDIIA,FEMALE,5924
MAYA,FEMALE,5913
OLESIA,FEMALE,5905
FELICJA,FEMALE,5903
LILIA,FEMALE,5888
RITA,FEMALE,5855
IDA,FEMALE,5731
HILDEGARDA,FEMALE,5683
ZENOBIA,FEMALE,5649
EMMA,FEMALE,5614
AMANDA,FEMALE,5561
ROMUALDA,FEMALE,5515
KSENIIA,FEMALE,5430
MYROSLAVA,FEMALE,5369
OTYLIA,FEMALE,5369
KRISTINA,FEMALE,5289
ARINA,FEMALE,5256
GIZELA,FEMALE,5242
RUSLANA,FEMALE,5127
IRMINA,FEMALE,5074
ALBINA,FEMALE,5043
DARIIA,FEMALE,4896
VITA,FEMALE,4877
VIKTORIA,FEMALE,4833
LILLA,FEMALE,4715
SLAWOMIRA,FEMALE,4706
BERNARDA,FEMALE,4599
ALENA,FEMALE,4586
ERYKA,FEMALE,4581
PELAGIA,FEMALE,4536
ANGELINA,FEMALE,4536
GAJA,FEMALE,4468
SOLOMIIA,FEMALE,4456
ANASTASIYA,FEMALE,4362
YULIYA,FEMALE,4338
LONGINA,FEMALE,4285
