name,gender,number
PIOTR,MALE,692120
KRZYSZTOF,MALE,645674
ANDRZEJ,MALE,542386
TOMASZ,MALE,538080
PAWEL,MALE,507624
MICHAL,MALE,491591
JAN,MALE,485100
MARCIN,MALE,450609
JAKUB,MALE,422395
ADAM,MALE,401718
LUKASZ,MALE,384143
MAREK,MALE,382201
GRZEGORZ,MALE,377006
MATEUSZ,MALE,376449
STANISLAW,MALE,374852
WOJCIECH,MALE,334615
MARIUSZ,MALE,288344
DARIUSZ,MALE,285899
MACIEJ,MALE,267785
ZBIGNIEW,MALE,267089
RAFAL,MALE,262387
ROBERT,MALE,260217
KAMIL,MALE,250833
JERZY,MALE,244093
DAWID,MALE,237545
SZYMON,MALE,237378
JACEK,MALE,233021
KACPER,MALE,225320
JÓZEF,MALE,213147
RYSZARD,MALE,206903
TADEUSZ,MALE,205066
BARTOSZ,MALE,203309
ARTUR,MALE,195807
JAROSLAW,MALE,191972
SLAWOMIR,MALE,186178
SEBASTIAN,MALE,185795
JANUSZ,MALE,184096
DAMIAN,MALE,183970
MIROSLAW,MALE,181867
PATRYK,MALE,179690
ROMAN,MALE,174439
DANIEL,MALE,169087
FILIP,MALE,166708
HENRYK,MALE,166333
ANTONI,MALE,166194
PRZEMYSLAW,MALE,165995
KAROL,MALE,165645
ALEKSANDER,MALE,149838
ADRIAN,MALE,148515
KAZIMIERZ,MALE,148424
WIESLAW,MALE,140276
MARIAN,MALE,133889
ARKADIUSZ,MALE,133846
DOMINIK,MALE,133840
FRANCISZEK,MALE,133394
MIKOLAJ,MALE,131330
BARTLOMIEJ,MALE,125366
LESZEK,MALE,114719
WIKTOR,MALE,112896
KRYSTIAN,MALE,111360
WALDEMAR,MALE,108031
OLEKSANDR,MALE,104507
RADOSLAW,MALE,103891
BOGDAN,MALE,96695
ZDZISLAW,MALE,95955
KONRAD,MALE,90692
IGOR,MALE,90065
HUBERT,MALE,88427
EDWARD,MALE,82405
MIECZYSLAW,MALE,78995
OSKAR,MALE,75372
MARCEL,MALE,74951
WLADYSLAW,MALE,74287
CZESLAW,MALE,68233
MAKSYMILIAN,MALE,67357
SERHII,MALE,64060
ANDRII,MALE,63354
EUGENIUSZ,MALE,63219
MILOSZ,MALE,63213
BOGUSLAW,MALE,60335
IRENEUSZ,MALE,60003
NIKODEM,MALE,58465
VOLODYMYR,MALE,57525
STEFAN,MALE,57347
WITOLD,MALE,55895
LEON,MALE,54651
OLIWIER,MALE,54528
SYLWESTER,MALE,54066
ZYGMUNT,MALE,53181
DMYTRO,MALE,51730
ALAN,MALE,50635
IVAN,MALE,48060
WLODZIMIERZ,MALE,47363
CEZARY,MALE,46133
ZENON,MALE,43283
MAKSYM,MALE,43171
GABRIEL,MALE,41348
IGNACY,MALE,40964
JULIAN,MALE,40100
NORBERT,MALE,39704
MYKOLA,MALE,38113
TYMON,MALE,36277
TYMOTEUSZ,MALE,36028
VITALII,MALE,34543
FABIAN,MALE,34134
YURII,MALE,32988
BLAŻEJ,MALE,32894
IHOR,MALE,32869
VASYL,MALE,32014
MYKHAILO,MALE,31723
VLADYSLAV,MALE,30497
ARTEM,MALE,29783
OLEH,MALE,29506
ERYK,MALE,29256
EMIL,MALE,28665
VIKTOR,MALE,26399
BOHDAN,MALE,24896
LECH,MALE,23738
BRONISLAW,MALE,22744
WACLAW,MALE,22662
OLEKSII,MALE,22561
NATAN,MALE,21987
KSAWERY,MALE,21149
DENYS,MALE,20652
BORYS,MALE,19846
BOLESLAW,MALE,19462
RUSLAN,MALE,19078
REMIGIUSZ,MALE,18770
OLAF,MALE,18715
BERNARD,MALE,17977
KAJETAN,MALE,17526
YAROSLAV,MALE,17224
PAVLO,MALE,17018
KUBA,MALE,16113
EDMUND,MALE,15807
VADYM,MALE,15319
LUCJAN,MALE,15002
BRUNO,MALE,14893
ALBERT,MALE,14725
ANATOLII,MALE,14700
TOBIASZ,MALE,14664
ALIAKSANDR,MALE,14438
ROMUALD,MALE,14192
GRACJAN,MALE,14154
SEWERYN,MALE,13779
SZCZEPAN,MALE,13223
YEVHEN,MALE,13094
DAVID,MALE,12674
ANDREI,MALE,12449
ANTON,MALE,12382
PETRO,MALE,12161
ILLIA,MALE,12140
ALEXANDER,MALE,12101
KORNEL,MALE,11901
OLIVIER,MALE,11830
YEVHENII,MALE,11575
ALFRED,MALE,11501
ERNEST,MALE,11269
NAZAR,MALE,11264
JOACHIM,MALE,11176
VALERII,MALE,10874
LUDWIK,MALE,10805
STANISLAV,MALE,10551
LESLAW,MALE,10486
ALEX,MALE,10443
BOGUMIL,MALE,10335
SIARHEI,MALE,10164
JĘDRZEJ,MALE,10108
TARAS,MALE,10023
GERARD,MALE,9911
DANYLO,MALE,9796
FELIKS,MALE,9610
DZMITRY,MALE,9549
MARK,MALE,9032
KOSTIANTYN,MALE,9015
LEONARD,MALE,8998
VIACHESLAV,MALE,8902
JULIUSZ,MALE,8648
DENIS,MALE,8277
ALEKS,MALE,8151
KLAUDIUSZ,MALE,7739
OLIVER,MALE,7730
DORIAN,MALE,7729
TEODOR,MALE,7646
NIKITA,MALE,7489
ALOJZY,MALE,7453
KYRYLO,MALE,7239
MARTIN,MALE,7235
NATANIEL,MALE,7113
MILAN,MALE,6962
MYKYTA,MALE,6899
OLEG,MALE,6865
DANIIL,MALE,6814
MICHAEL,MALE,6792
YEHOR,MALE,6775
MATVII,MALE,6629
GUSTAW,MALE,6612
KONSTANTY,MALE,6609
CYPRIAN,MALE,6469
BENEDYKT,MALE,6439
PAVEL,MALE,6410
STEPAN,MALE,6385
VALENTYN,MALE,6369
MIESZKO,MALE,6360
SAMUEL,MALE,6255
MAKSIM,MALE,6204
RAJMUND,MALE,6174
BRAJAN,MALE,5950
ALIAKSEI,MALE,5655
SERGII,MALE,5565
FLORIAN,MALE,5403
TYMOFII,MALE,5377
EDUARD,MALE,5212
KEVIN,MALE,5198
RUDOLF,MALE,5169
DAVYD,MALE,5108
ROSTYSLAV,MALE,5092
IWO,MALE,5037
MARCELI,MALE,4979
HIERONIM,MALE,4800
ARIEL,MALE,4681
GIORGI,MALE,4629
BENIAMIN,MALE,4611
KORDIAN,MALE,4610
FRYDERYK,MALE,4586
WINCENTY,MALE,4566
LEONID,MALE,4519
ERWIN,MALE,4459
JEREMI,MALE,4444
ALEKSY,MALE,4436
YAUHENI,MALE,4386
ANDRIY,MALE,4346
NAZARII,MALE,4300
ZYGFRYD,MALE,4249
VICTOR,MALE,4217
MAXIMILIAN,MALE,4135
ROLAND,MALE,4131
YURY,MALE,4089
SERGIUSZ,MALE,4048
TYMUR,MALE,4029
VITALI,MALE,4014
ULADZIMIR,MALE,3989
LEO,MALE,3966
PATRICK,MALE,3960
THOMAS,MALE,3827
MIKHAIL,MALE,3799
SVIATOSLAV,MALE,3768
OLGIERD,MALE,3730
AMADEUSZ,MALE,3711
OSCAR,MALE,3515
IHAR,MALE,3388
WALENTY,MALE,3383
NICOLAS,MALE,3357
EMILIAN,MALE,3337
ULADZISLAU,MALE,3258
KEWIN,MALE,3231
BRUNON,MALE,3195
ALEH,MALE,3165
AUGUSTYN,MALE,3129
OLIWER,MALE,3121
HENNADII,MALE,3055
MAURYCY,MALE,3045
PETER,MALE,3021
VIKTAR,MALE,2998
LEOPOLD,MALE,2979
DZIANIS,MALE,2969
ARNOLD,MALE,2904
MIKALAI,MALE,2891
MAKAR,MALE,2833
YURIY,MALE,2825
ADOLF,MALE,2776
HERBERT,MALE,2723
HRYHORII,MALE,2708
IURII,MALE,2700
OKTAWIAN,MALE,2602
ZAKHAR,MALE,2592
JEREMIASZ,MALE,2587
ALBIN,MALE,2577
WILHELM,MALE,2557
ANATOL,MALE,2547
NATHAN,MALE,2535
BENJAMIN,MALE,2519
CHRISTIAN,MALE,2504
MYROSLAV,MALE,2452
ARTSIOM,MALE,2436
JACOB,MALE,2418
ARSEN,MALE,2404
VLADIMIR,MALE,2397
RAMAN,MALE,2385
ALEKSANDR,MALE,2378
EMANUEL,MALE,2373
ALFONS,MALE,2360
KORNELIUSZ,MALE,2325
JONASZ,MALE,2307
MAX,MALE,2291
WALTER,MALE,2258
HUGO,MALE,2255
VADZIM,MALE,2251
HELMUT,MALE,2239
ILYA,MALE,2233
MANFRED,MALE,2207
EDWIN,MALE,2204
MIKITA,MALE,2195
MIRON,MALE,2189
JONATAN,MALE,2189
ION,MALE,2168
MARKO,MALE,2149
XAVIER,MALE,2147
KASPER,MALE,2128
KRYSPIN,MALE,2117
KIRIL,MALE,2113
TIMUR,MALE,2109
PAUL,MALE,2100
NIKOLAS,MALE,2088
DANYIL,MALE,2082
VLADISLAV,MALE,2080
ZIEMOWIT,MALE,2049
HLIB,MALE,2047
GINTER,MALE,2042
VALERY,MALE,2025
ARON,MALE,2019
OREST,MALE,2011
MATTHEW,MALE,2011
MYKHAYLO,MALE,2008
LEV,MALE,1997
WERNER,MALE,1994
TEOFIL,MALE,1958
TYTUS,MALE,1957
VITALIY,MALE,1930
LIUBOMYR,MALE,1924
YAN,MALE,1902
KIRYL,MALE,1855
PHILIP,MALE,1853
ANDREAS,MALE,1836
ALEXANDR,MALE,1833
CHRISTOPHER,MALE,1821
ANTHONY,MALE,1820
JOHN,MALE,1804
SERGHEI,MALE,1801
ALI,MALE,1789
KSAWIER,MALE,1770
SERHIY,MALE,1742
WALERIAN,MALE,1714
PATRYCJUSZ,MALE,1712
MOHAMED,MALE,1689
LECHOSLAW,MALE,1688
SERGIY,MALE,1688
MARCO,MALE,1664
HEORHII,MALE,1660
ARSENII,MALE,1639
MAKS,MALE,1624
MAXIM,MALE,1623
RAFAEL,MALE,1606
KLEMENS,MALE,1594
DAVIT,MALE,1594
OSTAP,MALE,1590
FEDIR,MALE,1589
SIMON,MALE,1577
VINCENT,MALE,1566
ELIASZ,MALE,1525
JONATHAN,MALE,1492
ANATOLI,MALE,1483
MIHAIL,MALE,1466
DAMIR,MALE,1445
LONGIN,MALE,1437
NICHOLAS,MALE,1436
VADIM,MALE,1435
RICHARD,MALE,1428
BRIAN,MALE,1424
KASJAN,MALE,1419
FERDYNAND,MALE,1410
WAWRZYNIEC,MALE,1394
HORST,MALE,1391
JACENTY,MALE,1383
ANTONIO,MALE,1382
ERIK,MALE,1368
VIACHASLAU,MALE,1368
WILLIAM,MALE,1364
