surname,number
NOWAK,144488
KOWALSKI,93232
WISNIEWSKI,73212
WOJCIK,66343
KOWALCZYK,65230
KAMINSKI,63017
LEWANDOWSKI,61821
ZIELINSKI,60861
DABROWSKI,60810
SZYMANSKI,59416
WOZNIAK,59332
KOZLOWSKI,50566
JANKOWSKI,45924
MAZUR,45428
KWIATKOWSKI,44052
WOJCIECHOWSKI,44022
KRAWCZYK,42526
KACZMAREK,41446
PIOTROWSKI,40829
GRABOWSKI,38765
ZAJAC,37205
PAWLOWSKI,37018
MICHALSKI,36420
KROL,36120
NOWAKOWSKI,35001
WROBEL,33833
WIECZOREK,33830
JABLONSKI,33361
DUDEK,33061
ADAMCZYK,33009
MAJEWSKI,32751
NOWICKI,32017
OLSZEWSKI,31868
STEPIEN,31589
MALINOWSKI,31337
JAWORSKI,31325
PAWLAK,30602
GORSKI,29993
WITKOWSKI,29633
SIKORA,29611
WALCZAK,29486
RUTKOWSKI,29098
BARAN,28881
MICHALAK,28502
SZEWCZYK,28180
OSTROWSKI,27721
TOMASZEWSKI,26601
PIETRZAK,26124
DUDA,26101
ZALEWSKI,26097
WROBLEWSKI,25733
JASINSKI,25491
MARCINIAK,25387
SADOWSKI,25068
ZAWADZKI,25059
BAK,25035
JAKUBOWSKI,24924
WILK,23813
CHMIELEWSKI,23717
WLODARCZYK,23676
BORKOWSKI,23252
SOKOLOWSKI,22734
SZCZEPANSKI,22658
SAWICKI,22585
LIS,22332
KUCHARSKI,22052
MAZUREK,21472
KUBIAK,21428
WYSOCKI,21335
KALINOWSKI,21320
MACIEJEWSKI,21241
CZARNECKI,21136
KOLODZIEJ,20442
KAZMIERCZAK,20241
URBANSKI,20178
SOBCZAK,19334
KONIECZNY,19081
GLOWACKI,18821
KRUPA,18707
WASILEWSKI,18623
ZAKRZEWSKI,18567
KRAJEWSKI,18490
ADAMSKI,18293
SIKORSKI,18269
MROZ,18212
LASKOWSKI,18104
GAJEWSKI,18075
ZIOLKOWSKI,18073
SZULC,17959
MAKOWSKI,17948
BARANOWSKI,17723
SZYMCZAK,17664
CZERWINSKI,17609
KACZMARCZYK,17601
PRZYBYLSKI,17580
BRZEZINSKI,17569
BLASZCZYK,17416
ANDRZEJEWSKI,17398
BOROWSKI,17339
CIESLAK,17310
KOZAK,17113
KANIA,17101
CHOJNACKI,17051
GORECKI,17041
JANIK,16902
SZCZEPANIAK,16900
LESZCZYNSKI,16570
LIPINSKI,16570
MUCHA,16558
KOZIOL,16453
WESOLOWSKI,16452
KOWALEWSKI,16387
MIKOLAJCZYK,16275
NOWACKI,16153
DOMANSKI,16151
JAROSZ,15857
CIESIELSKI,15821
MUSIAL,15804
KOWALIK,15773
ZIEBA,15741
KOLODZIEJCZYK,15579
MARKOWSKI,15452
KOPEĆ,15374
BRZOZOWSKI,15330
KUREK,15142
PIATEK,15134
ZAK,15069
ORLOWSKI,15025
PAWLIK,14955
TOMCZYK,14946
TOMCZAK,14940
KOT,14705
URBANIAK,14693
WAWRZYNIAK,14658
MARKIEWICZ,14521
WOJTOWICZ,14490
WOLSKI,14380
KRUK,14270
POLAK,14247
CZAJKOWSKI,14244
STASIAK,14143
NAWROCKI,14124
SOWA,14089
STANKIEWICZ,13907
LUCZAK,13857
JASTRZEBSKI,13813
KARPINSKI,13783
DZIEDZIC,13586
WIERZBICKI,13581
PIASECKI,13465
GAJDA,13337
KLIMEK,13290
BEDNAREK,13245
STEFANSKI,13098
URBAN,13065
JANICKI,13024
JOZWIAK,12964
BIELECKI,12927
DOMAGALA,12897
SOSNOWSKI,12829
MADEJ,12791
MAJCHRZAK,12791
MAJ,12658
MILEWSKI,12636
DOBROWOLSKI,12596
MALECKI,12564
KOWAL,12475
SKIBA,12468
LESNIAK,12438
SLIWINSKI,12433
SOCHA,12234
MAREK,12189
BEDNARCZYK,12038
WRONA,12010
KASPRZAK,11938
MATUSZEWSKI,11813
PAJAK,11805
OLEJNICZAK,11763
WILCZYNSKI,11625
RATAJCZAK,11594
ROMANOWSKI,11558
MICHALIK,11499
SWIATEK,11483
OWCZAREK,11460
KUROWSKI,11436
ORZECHOWSKI,11426
GRZELAK,11422
OLEJNIK,11291
LUKASIK,11249
SOBOLEWSKI,11066
ROGOWSKI,11064
MAZURKIEWICZ,11048
BUKOWSKI,11045
SROKA,11001
MATUSIAK,10982
KEDZIERSKI,10969
BARANSKI,10961
KOSINSKI,10930
RYBAK,10866
CZAJKA,10802
KOZIEL,10744
SOBCZYK,10728
MARCINKOWSKI,10719
SKOWRONSKI,10702
MARSZALEK,10700
ZYCH,10643
CHRZANOWSKI,10622
BEDNARSKI,10535
LISOWSKI,10514
BEDNARZ,10453
PLUTA,10419
KASPRZYK,10394
JANISZEWSKI,10392
SWIDERSKI,10380
KWIECIEN,10309
BIALEK,10285
MARCZAK,10266
KUCZYNSKI,10258
MUSZYNSKI,10257
JEDRZEJEWSKI,10185
WITEK,10182
MORAWSKI,10177
CZECH,10172
PALUCH,10160
GRZYBOWSKI,10143
TUREK,10129
CZAJA,10104
ZUKOWSKI,10017
DEBSKI,10004
KACZOR,9984
CIESLIK,9981
MARZEC,9978
CHMIEL,9977
MALEK,9892
OSINSKI,9872
KUBICKI,9863
PIEKARSKI,9845
SZCZESNY,9746
KRZEMINSKI,9713
SLIWA,9682
JANOWSKI,9631
STEFANIAK,9618
PRZYBYSZ,9603
BIERNACKI,9592
MICHALOWSKI,9567
GOLEBIEWSKI,9554
KULESZA,9500
LECH,9487
SZYDLOWSKI,9464
SMOLINSKI,9461
KACPRZAK,9438
LEWICKI,9412
CZYZ,9396
STANISZEWSKI,9389
KUJAWA,9387
RAK,9377
MURAWSKI,9355
NIEMIEC,9336
AUGUSTYNIAK,9331
POPLAWSKI,9302
RUDNICKI,9300
GORA,9279
PIETRZYK,9264
BANACH,9257
PIATKOWSKI,9238
ZUREK,9233
SERAFIN,9165
GORNY,9114
MATYSIAK,9108
SOWINSKI,9088
STACHOWIAK,9088
GOLEBIOWSKI,9071
KARCZEWSKI,9053
PODGORSKI,9045
BANAS,9019
DROZD,9011
ZAWADA,8972
KLIMCZAK,8942
ROSINSKI,8921
ZURAWSKI,8890
BIENIEK,8846
CYBULSKI,8817
GORKA,8817
GRUSZKA,8769
GODLEWSKI,8764
KUS,8694
PRZYBYLA,8656
SKRZYPCZAK,8647
GROCHOWSKI,8616
CICHON,8582
KOMOROWSKI,8579
CICHOCKI,8546
KRAWIEC,8525
PTAK,8519
PANEK,8504
SIWEK,8476
GIL,8448
KULIK,8403
NIEWIADOMSKI,8403
ROZANSKI,8367
MIELCZAREK,8351
WINIARSKI,8317
GRACZYK,8274
KONOPKA,8263
SLOWIK,8220
GRZYB,8215
KRZYZANOWSKI,8201
KLOS,8199
SZCZEPANIK,8197
FILIPIAK,8186
ZARZYCKI,8162
STANCZYK,8122
ANTCZAK,8112
LESNIEWSKI,8100
TOKARSKI,8059
ZAREMBA,8040
SZYMCZYK,8020
MLYNARCZYK,8014
KACZYNSKI,7994
STRZELECKI,7992
MIKOLAJCZAK,7989
CIESLA,7972
SKOWRON,7923
MAĆKOWIAK,7918
BUCZEK,7895
GASIOR,7864
JUREK,7824
JANUS,7818
BIERNAT,7817
SZOSTAK,7801
BARTKOWIAK,7787
JANIAK,7768
SZCZYGIEL,7747
BOGUSZ,7731
PALKA,7701
WEGRZYN,7692
KULA,7685
KALETA,7659
GAWRON,7656
KOSTRZEWA,7654
FRACZEK,7651
DLUGOSZ,7635
BANASIAK,7620
KUCHARCZYK,7617
BARTCZAK,7613
KSIAZEK,7607
RAKOWSKI,7606
KUBIK,7590
ROZYCKI,7551
SIENKIEWICZ,7541
RZEPKA,7516
KROLIKOWSKI,7476
GAWLIK,7429
BAGINSKI,7411
DOBOSZ,7364
MALEC,7361
ZAREBA,7346
ZEBROWSKI,7324
ROGALSKI,7321
TRZCINSKI,7321
ROGALA,7318
WITCZAK,7301
TKACZYK,7297
HAJDUK,7239
GAWRONSKI,7217
KISIEL,7208
ROJEK,7194
GRZEGORCZYK,7156
RYBICKI,7138
CICHY,7136
TROJANOWSKI,7127
MIKULSKI,7123
WOLNY,7117
FRANKOWSKI,7093
MALISZEWSKI,7093
NAWROT,7022
WASIK,7019
DUDZINSKI,7018
RADOMSKI,7015
FRACKOWIAK,6993
LACH,6991
KACZOROWSKI,6948
BOREK,6931
FIJALKOWSKI,6893
GRZESIAK,6849
GALAZKA,6847
BIALAS,6845
MIKA,6833
SLUSARCZYK,6821
BOGUCKI,6805
SOKOL,6786
STEC,6780
PAWELEC,6778
WNUK,6766
CZYZEWSKI,6763
ZABOROWSKI,6744
LIPSKI,6741
ROSIAK,6728
WOJTCZAK,6710
WIECKOWSKI,6709
KMIECIK,6707
WALKOWIAK,6701
KWASNIEWSKI,6691
DABEK,6671
WOJCICKI,6663
BOCHENEK,6643
KOLODZIEJSKI,6589
BURZYNSKI,6555
DRZEWIECKI,6546
JANAS,6545
PIETRAS,6532
KRYSIAK,6522
JUSZCZAK,6509
ZYGMUNT,6505
LASOTA,6494
ZMUDA,6485
CEBULA,6482
KARWOWSKI,6481
MROCZEK,6478
SKRZYPEK,6436
CYGAN,6434
JEDRZEJCZYK,6430
WRONSKI,6414
PASTERNAK,6397
DEBOWSKI,6388
FILIPEK,6386
KARAS,6382
MISIAK,6379
GAWEL,6373
GRUSZCZYNSKI,6373
LUKASIEWICZ,6368
FLIS,6362
MASLOWSKI,6355
LAPINSKI,6345
SZAFRANSKI,6343
ZAJACZKOWSKI,6326
BUJAK,6324
KALUZA,6324
PIORKOWSKI,6310
PIWOWARCZYK,6286
BIELAWSKI,6279
FALKOWSKI,6271
JAGODZINSKI,6240
BOROWIEC,6230
JAGIELLO,6226
JEDRZEJCZAK,6217
KRAKOWIAK,6217
CZAPLA,6216
SKIBINSKI,6212
KALUZNY,6200
GUTOWSKI,6194
ZIELONKA,6193
LUKASZEWSKI,6181
KUBACKI,6177
LISIECKI,6162
WILCZEK,6132
SOLTYS,6102
DROZDOWSKI,6092
SOBIERAJ,6091
STELMACH,6090
WOZNY,6072
JURKIEWICZ,6071
URBANCZYK,6057
DZIUBA,6053
TARNOWSKI,6052
SZCZESNIAK,6051
JAKUBIAK,6046
SKOCZYLAS,6045
ANDRZEJCZAK,6042
RACZYNSKI,6042
TWARDOWSKI,6038
PILARSKI,6032
STRZELCZYK,6032
NOWACZYK,6029
PAKULA,6021
WASIAK,6016
KUBICA,6002
BARTOSIK,5996
CISZEWSKI,5980
GASIOROWSKI,5976
KEDZIORA,5966
DUBIEL,5906
MIERZEJEWSKI,5898
BOBER,5887
GOLAB,5863
BILSKI,5862
GUZIK,5848
MAJCHER,5823
GORNIAK,5814
STANEK,5795
KOPCZYNSKI,5784
MILCZAREK,5779
GORAL,5747
WIECEK,5726
FLOREK,5720
SZWED,5713
CHOLEWA,5712
STASZEWSKI,5697
KRUPINSKI,5687
STOLARCZYK,5687
MOTYKA,5677
SLOWINSKI,5655
BURY,5649
RUSIN,5643
MISZTAL,5639
JASKIEWICZ,5634
MATUSZAK,5625
KASZUBA,5619
WOLAK,5619
GRZYWACZ,5616
BIALY,5609
KUCHTA,5606
KAPUSTA,5597
RUCINSKI,5597
FLORCZAK,5596
KUC,5593
PYTEL,5589
KULIG,5578
